comment_id,seg_id,rb_seg_text,uns_seg_text,hyb_seg_text,seg_text,rb_terms_raw,unsup_terms_raw,hyb_terms_raw,rb_terms,unsup_terms,hyb_terms,silver_terms_raw,n_silver_raw,rule_based_prec_raw,rule_based_rec_raw,unsupervised_prec_raw,unsupervised_rec_raw,hybrid_topk_prec_raw,hybrid_topk_rec_raw
0,0,harus di energy mix Biomass cocok di sumatra dan kalimantan.,harus di energy mix Biomass cocok di sumatra dan kalimantan.,harus di energy mix Biomass cocok di sumatra dan kalimantan.,harus di energy mix Biomass cocok di sumatra dan kalimantan.,"['energi mix', 'mix biomass', 'biomass', 'sumatera', 'kalimantan', 'energi']","['energi', 'kalimantan']","['mix biomass', 'biomass']","['energi mix', 'mix biomass', 'biomass', 'sumatera', 'kalimantan', 'energi']","['energi', 'kalimantan']","['mix biomass', 'biomass']","['energi', 'kalimantan']",2,0.3333333333333333,1.0,1.0,1.0,0.0,0.0
0,1,Geothermal cocok di daerah2 bekas tambang Nuklir cocok di daerah padat penduduk Angin dan solar yang jadi backbone Hidro nanti jadi baseline.,Geothermal cocok di daerah2 bekas tambang Nuklir cocok di daerah padat penduduk Angin dan solar yang jadi backbone Hidro nanti jadi baseline.,Geothermal cocok di daerah2 bekas tambang Nuklir cocok di daerah padat penduduk Angin dan solar yang jadi backbone Hidro nanti jadi baseline.,Geothermal cocok di daerah2 bekas tambang Nuklir cocok di daerah padat penduduk Angin dan solar yang jadi backbone Hidro nanti jadi baseline.,"['geothermal', 'daerah bekas', 'bekas tambang', 'tambang nuklir', 'nuklir', 'daerah padat penduduk', 'penduduk angin', 'angin', 'surya', 'backbone hidro', 'hidro', 'baseline', 'daerah', 'backbone']","['geothermal', 'nuklir', 'daerah', 'surya', 'penduduk', 'angin']","['daerah padat penduduk', 'daerah bekas', 'backbone hidro']","['geothermal', 'daerah bekas', 'bekas tambang', 'tambang nuklir', 'nuklir', 'daerah padat penduduk', 'penduduk angin', 'angin', 'surya', 'backbone hidro', 'hidro', 'baseline', 'daerah', 'backbone']","['geothermal', 'nuklir', 'daerah', 'surya', 'penduduk', 'angin']","['daerah padat penduduk', 'daerah bekas', 'backbone hidro']","['angin', 'daerah', 'geothermal', 'nuklir', 'surya']",5,0.35714285714285715,1.0,0.8333333333333334,1.0,0.0,0.0
1,0,"Ironisnya, kita g ada dana.","Ironisnya, kita g ada dana.","Ironisnya, kita g ada dana.","Ironisnya, kita g ada dana.",['dana'],['dana'],['dana'],['dana'],['dana'],['dana'],['dana'],1,1.0,1.0,1.0,1.0,1.0,1.0
1,1,Padahal negara kita lokasinya cocok buat itu semua.,Padahal negara kita lokasinya cocok buat itu semua.,Padahal negara kita lokasinya cocok buat itu semua.,Padahal negara kita lokasinya cocok buat itu semua.,"['negara', 'lokasi']",['negara'],"['negara', 'lokasi']","['negara', 'lokasi']",['negara'],"['negara', 'lokasi']",['negara'],1,0.5,1.0,1.0,1.0,0.5,1.0
2,0,"Solar cuma bisa saat siang hari, di mana keperluan listrik lebih sedikit.","Solar cuma bisa saat siang hari, di mana keperluan listrik lebih sedikit.","Solar cuma bisa saat siang hari, di mana keperluan listrik lebih sedikit.","Solar cuma bisa saat siang hari, di mana keperluan listrik lebih sedikit.","['surya', 'siang', 'keperluan listrik', 'listrik']","['surya', 'listrik']","['keperluan listrik', 'siang']","['surya', 'siang', 'keperluan listrik', 'listrik']","['surya', 'listrik']","['keperluan listrik', 'siang']","['listrik', 'surya']",2,0.5,1.0,1.0,1.0,0.0,0.0
2,1,"Angin gak konsisten, tergantung musim.","Angin gak konsisten, tergantung musim.","Angin gak konsisten, tergantung musim.","Angin gak konsisten, tergantung musim.","['angin konsisten', 'musim']",['angin'],"['musim', 'angin konsisten']","['angin konsisten', 'musim']",['angin'],"['musim', 'angin konsisten']",[],0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,Geothermal dan hidro terbatas lokasi.,Geothermal dan hidro terbatas lokasi.,Geothermal dan hidro terbatas lokasi.,Geothermal dan hidro terbatas lokasi.,"['geothermal', 'hidro', 'lokasi']","['geothermal', 'lokasi']","['hidro', 'lokasi']","['geothermal', 'hidro', 'lokasi']","['geothermal', 'lokasi']","['hidro', 'lokasi']","['geothermal', 'lokasi']",2,0.6666666666666666,1.0,1.0,1.0,0.5,0.5
2,3,"Nuklir yg paling efisien, walau tehnical expertise nya jadi tantangan.","Nuklir yg paling efisien, walau tehnical expertise nya jadi tantangan.","Nuklir yg paling efisien, walau tehnical expertise nya jadi tantangan.","Nuklir yg paling efisien, walau tehnical expertise nya jadi tantangan.","['nuklir', 'tehnical expertise', 'expertise', 'tantangan', 'tehnical']",['nuklir'],"['tehnical expertise', 'tehnical', 'expertise']","['nuklir', 'tehnical expertise', 'expertise', 'tantangan', 'tehnical']",['nuklir'],"['tehnical expertise', 'tehnical', 'expertise']",['nuklir'],1,0.2,1.0,1.0,1.0,0.0,0.0
2,4,Baiknya leverage dan gunakan semua sesuai kondisi utk kurangi ketergantungan pada fossil fuel.,Baiknya leverage dan gunakan semua sesuai kondisi utk kurangi ketergantungan pada fossil fuel.,Baiknya leverage dan gunakan semua sesuai kondisi utk kurangi ketergantungan pada fossil fuel.,Baiknya leverage dan gunakan semua sesuai kondisi utk kurangi ketergantungan pada fossil fuel.,"['leverage', 'kondisi', 'ketergantungan', 'fossil fuel', 'fuel']","['fuel', 'kondisi']","['fossil fuel', 'fuel', 'kondisi']","['leverage', 'kondisi', 'ketergantungan', 'fossil fuel', 'fuel']","['fuel', 'kondisi']","['fossil fuel', 'fuel', 'kondisi']","['fuel', 'kondisi']",2,0.4,1.0,1.0,1.0,0.6666666666666666,1.0
3,0,Harus belajar ke Perancis.,Harus belajar ke Perancis.,Harus belajar ke Perancis.,Harus belajar ke Perancis.,['perancis'],[],['perancis'],['perancis'],[],['perancis'],[],0,0.0,0.0,1.0,1.0,0.0,0.0
